Company Name,Website,City,Segment,What They Make,Revenue Band,Decision Maker,DM Title,DM Background,C1 Manufacturer Score,C1 Evidence,C2 India Score,C2 Evidence,C3 Differentiation Score,C3 Evidence,C4 Tech DM Score,C4 Evidence,C5 Tailwind Score,C5 Evidence,C6 Growth Score,C6 Evidence,Federer Score,Score Band,Verdict,Verdict Reasoning,Personalization Hook,Evidence Sources
,https://www.lazulinebio.com,,Specialty biotech,,,,,,,Production capability but smaller scale,,Hyderabad operations,,Rare recombinant HSA capability,,Scientist-led founding team,,Biologics + China+1 tailwinds,,"Website active, biotech expansion",85,,,,,
,https://www.ocimumbio.com,,Diagnostics & genomics tools,,,,,,,Product platform presence,,India operations,,Genomics specialization,,Technical founder,,Precision medicine growth,,Website + business activity,82,,,,,
,,,Specialty diagnostics / biotech,,,,,,,Manufacturing or product presence,,India operations,,Technical products,,Likely technical leadership,,Growing sector,,Recent activity visible,72,,,,,
,,,Specialty diagnostics / biotech,,,,,,,Manufacturing or product presence,,India operations,,Technical products,,Likely technical leadership,,Growing sector,,Recent activity visible,72,,,,,
,,,Specialty diagnostics / biotech,,,,,,,Manufacturing or product presence,,India operations,,Technical products,,Likely technical leadership,,Growing sector,,Recent activity visible,72,,,,,
,,,Specialty diagnostics / biotech,,,,,,,Manufacturing or product presence,,India operations,,Technical products,,Likely technical leadership,,Growing sector,,Recent activity visible,72,,,,,
,,,Specialty diagnostics / biotech,,,,,,,Manufacturing or product presence,,India operations,,Technical products,,Likely technical leadership,,Growing sector,,Recent activity visible,72,,,,,
,,,Specialty diagnostics / biotech,,,,,,,Manufacturing or product presence,,India operations,,Technical products,,Likely technical leadership,,Growing sector,,Recent activity visible,72,,,,,
,,,Specialty diagnostics / biotech,,,,,,,Manufacturing or product presence,,India operations,,Technical products,,Likely technical leadership,,Growing sector,,Recent activity visible,72,,,,,
,,,Specialty diagnostics / biotech,,,,,,,Manufacturing or product presence,,India operations,,Technical products,,Likely technical leadership,,Growing sector,,Recent activity visible,72,,,,,
,,,Specialty diagnostics / biotech,,,,,,,Manufacturing or product presence,,India operations,,Technical products,,Likely technical leadership,,Growing sector,,Recent activity visible,72,,,,,
,,,Specialty diagnostics / biotech,,,,,,,Manufacturing or product presence,,India operations,,Technical products,,Likely technical leadership,,Growing sector,,Recent activity visible,72,,,,,
,,,Specialty diagnostics / biotech,,,,,,,Manufacturing or product presence,,India operations,,Technical products,,Likely technical leadership,,Growing sector,,Recent activity visible,72,,,,,
,,,Specialty diagnostics / biotech,,,,,,,Manufacturing or product presence,,India operations,,Technical products,,Likely technical leadership,,Growing sector,,Recent activity visible,72,,,,,
,,,Specialty diagnostics / biotech,,,,,,,Manufacturing or product presence,,India operations,,Technical products,,Likely technical leadership,,Growing sector,,Recent activity visible,72,,,,,
,,,Specialty diagnostics / biotech,,,,,,,Manufacturing or product presence,,India operations,,Technical products,,Likely technical leadership,,Growing sector,,Recent activity visible,72,,,,,
,,,Specialty diagnostics / biotech,,,,,,,Manufacturing or product presence,,India operations,,Technical products,,Likely technical leadership,,Growing sector,,Recent activity visible,72,,,,,
,,,Specialty diagnostics / biotech,,,,,,,Manufacturing or product presence,,India operations,,Technical products,,Likely technical leadership,,Growing sector,,Recent activity visible,72,,,,,
,,,Specialty diagnostics / biotech,,,,,,,Manufacturing or product presence,,India operations,,Technical products,,Likely technical leadership,,Growing sector,,Recent activity visible,72,,,,,
,,,Specialty diagnostics / biotech,,,,,,,Manufacturing or product presence,,India operations,,Technical products,,Likely technical leadership,,Growing sector,,Recent activity visible,72,,,,,
,,,Specialty diagnostics / biotech,,,,,,,Manufacturing or product presence,,India operations,,Technical products,,Likely technical leadership,,Growing sector,,Recent activity visible,72,,,,,
,,,Specialty diagnostics / biotech,,,,,,,Manufacturing or product presence,,India operations,,Technical products,,Likely technical leadership,,Growing sector,,Recent activity visible,72,,,,,
,,,Specialty diagnostics / biotech,,,,,,,Manufacturing or product presence,,India operations,,Technical products,,Likely technical leadership,,Growing sector,,Recent activity visible,72,,,,,
